Latin;English;References;English Latin Pair Matches;Misspelling
Approximatio;Approach; A. 4111:3. De Verbo 3:2-3.;;
Apricus;Sunny;;TRUE;
Apsis;Apsis;;;
Aptare;Adapt;;;
Aptatio;Adaptation;;;
Apud;With; T. 420. 510. 511. 583. (in). T. 722:2.;TRUE;
Aqua;Water;;TRUE;
Aquaductus;Watercourse;;TRUE;TRUE
Aqualiculum;Trough;;;
Aqueus;Watery;;TRUE;
Aquila;Eagle;;TRUE;
Ar;Ar;;TRUE;
Ara;Altar;;TRUE;
Arabia;Arabia;;TRUE;
Arabicus;Arabic; M. 326:4.;TRUE;
Arabs;Arabian;;TRUE;
Aram;Aram;;TRUE;
Aramaeus;Aramean;;TRUE;
Aranea;Spider;;TRUE;
Ararath;Ararat;;TRUE;TRUE
Arare;Plough, To;;;
Aratio;Ploughing, A;;TRUE;
Arator;Plougher, A;;;
Aratrum;Plough, A;;TRUE;
Arbitrari;Think (see Will - arbitrium);;;
Arbitrarius;Arbitrary (see Will - arbitrium);;;
Arbitrium;Will;;;
Arbor olei;Oil tree;;TRUE;
Arbor scientiae;Tree of knowledge;;;
Arbor vini;Vine;;;
Arbor vitae;Tree of life;;;
Arbor;Tree;;TRUE;
Arboretum;Plantation;;TRUE;
Arboreus;Arboreal (see Tree);;;
Arbustum;Shrub; M. 231.;TRUE;
Arca;Ark;;;
Arcana Coelestia;Arcana Coelestia;;TRUE;
Arcanista;Arcanist;;;
Arcanum;Arcanum;;TRUE;
Arcere;Keep away (see Close - arctus); T. 120. D. 3892.;;
Arcessere;Summon; A. 9009.;;
Archangelus;Archangel;;;
Archididasculus;Archteacher;;;
Architectonicus;Architectonic;;TRUE;
Architectura;Architecture;;TRUE;
Architectus;Architect;;TRUE;
Architriclinus;Ruler of Feast;;TRUE;
Arcte;Closely;;;
Arctus;Closely;;;
Arcus;Bow, A; E.866:7.;;
Ardere;Burn (see Ardour);;;
Ardescere;Inflame;;;
Ardor;Ardour; M. 304e. 312.;TRUE;
Area;Threshing-floor;;TRUE;
Arefacere;Dry up;;TRUE;
Arefactio;Withering (see Dry up);;;
Arena;Sand;;TRUE;
Arenosus;Sandy;;TRUE;
Arens;Dry;;;
Arescere;Dry, To;;;
Argenteus;Silvern;;TRUE;
Argentum aevum;Silver Age;;TRUE;
Argentum vivum;Quicksilver;;TRUE;
Argentum;Silver;;TRUE;
Argilla;Clay;;;
Argillaceus;Clay, Of;;;
Arguere;Charge, To;;;
Argumentatio;Argumentation; A. 8313:3.;TRUE;
Argumentum;Argument; A. 8313:3. R. 455e. D. 3374.;TRUE;
Argus;Argus;;TRUE;
Argute;Sharply;;TRUE;
Arianus;Arian; P. 231:6. E. 900:4.;TRUE;
Ariditas;Dryness;;TRUE;
Aridus;Dry,;;;
Aries;Ram;;TRUE;
Arista;Ear (of corn);;;
Aristippus;Aristippus;;TRUE;
Aristocraticus;Aristocratic;;TRUE;
Aristoteles;Aristotle; D. 5630:2.;TRUE;
Aristotelicus;Aristotelian;;TRUE;
Arithmeticus;Arithmetic;;;
Arius;Arius;;TRUE;
Arki;Arkites;;TRUE;
Arma;Weapons;;TRUE;
Armageddon;Armageddon;;TRUE;
Armamentarium;Arsenal;;TRUE;
Armentum;Herd;;TRUE;
Armilla;Bracelet; A. 10540:3.;TRUE;
Armus;Flank;;TRUE;
Arnel;Arnel;;;TRUE
Arnon;Arnon; E.435:6.;;TRUE
Aroer;Aroer; E. 911:12.;;TRUE
Aroma;Spice;;TRUE;
Aromatarius;Perfumer (see Spice);;;
